Number;Type;City;Address;Postal code;Latitude;Longitude;Price;Open;For disabled persons?;Comment
1;Nyilvános;Gyõr; Erkel Ferenc u. 4;9025;47.68604773584556; 17.624908826882766;200;H-SZO 8-16;Nem;(Bercsényi Liget)
2;Nyilvános;Gyõr; Zechmeister u. 1;9021;47.686103274432526; 17.630719186237123;200;H-V 0-24;Igen;(Virágpiac)
3;Nyilvános;Gyõr; Baross Gábor út 35;9021;47.684515600409064; 17.634997736419123;200;"H-P 8-20; SZO 8-18; V 10-18";Nem;(Sétálóutca Városháza felõli elején)
4;Nyilvános;Gyõr; Szabadsajtó u. 24;9021;47.68802787177609; 17.633553995530693;200;H-SZO 8-18;Nem;(Széchenyi tér)
5;Nyilvános;Gyõr; Dunakapu tér;9022;47.690034702340284; 17.632935933106744;200;"H-SZO 10-20; V 10-18";Igen;(Dunakapu mélygarázs)
6;Nyilvános;Gyõr; Bisinger József stny. 15;9022;47.68482498434725; 17.63871039005709;200;H-V 6-22;Igen;(Bisinger sétány)
7;Nyilvános;Gyõr; Eötvös park;9021;47.68141170995319; 17.630807182249413;200;H-V 6-22;Igen;(Eötvös park)
8;Nyilvános;Gyõr; Bem tér 14;9024;47.67793173067568; 17.634764865841515;200;H-V 6-22;Igen;(Bem tér)
9;Nyilvános;Gyõr; Álmos u. 21;9023;47.67916914475014; 17.643672612819365;200;H-V 6-22;Igen;(Malom liget)
10;Nyilvános;Gyõr; Ifjúság krt. 91;9023;47.67077154900637; 17.655615265960968;200;H-V 6-22;Igen;(Adyvárosi tó mellett)
11;Magán;Gyõr; Budai út 1;9027;47.69054022611017; 17.64457185172739;50;"H-SZO 9-20; V 10-18";Nem;Földszint, Tom Tailor és Office Shoes között (Árkád)
12;Magán;Gyõr; Budai út 1;9027;47.69064607737905; 17.64438780310869;50;"H-SZO 9-20; V 10-18";Igen;Emelet, Purple Panda mellett (Árkád)
13;Magán;Gyõr; Budai út 1;9027;47.69012811319212; 17.64430664019338;50;"H-SZO 9-20; V 10-18";Igen;Földszint, Gas és Calzedonia között (Árkád)
14;Magán;Gyõr; Budai út 1;9027;47.69012811319212; 17.64430664019338;50;"H-SZO 9-20; V 10-18";Igen;Emelet, Heavy Tools és Budmil Store között (Árkád)
15;Nyilvános;Gyõr; Révai Miklós utca 4;9021;47.68217040231239; 17.634522047641568;200;H-V 5:40-20:15;Nem;Aluljárószinten (Vasútállomás)
16;Magán;Gyõr; Baross Gábor út 23;9021;47.686084195962344; 17.63413046969159;200;"H-CS 7-23; P 7-24; SZO 0-2, 7-24; V 0-2, 8-23";Nem;Fõbejárat után jobbra (McDonald's)
17;Magán;Gyõr; Vasvári Pál u. 1;9023;47.66994222099452; 17.64908002321328;0;H-V 7-23;Igen;(McDonald's)
18;Magán;Gyõr; Pápai út 2856/3. Hrsz;9024;47.65676224968703; 17.634896176254674;0;H-V 7-23;Igen;(McDonald's)
19;Nyilvános;Gyõr; Vasvári Pál u. 4;9024;47.67014107813979; 17.648106110112682;200;H-V 0-24;Igen;(Dr. Pezt Lajos Parkolóház)
20;Magán;Gyõr; Vasvári Pál u. 1;9024;47.66947567752465; 17.65112281757871;0;"H-SZO 9-20; V 10-18";Igen;(Gyõr Pláza)
21;Magán;Gyõr; Baross Gábor út 24;9021;47.68570589720944; 17.633939038805497;Fogyasztás ellenében;"H-CS 8-21:30; P-SZO 8-24";Nem;Kód a Blokkon (KFC Baross út)
