Number;Type;City;Address;Postal code;Latitude;Longitude;Price;Open;For disabled persons?;Comment
1;Nyilvanos;Gyor; Erkel Ferenc u. 4;9025;47.68604773584556; 17.624908826882766;200;H-SZO 8-16;Nem;(Bercsenyi Liget)
2;Nyilvanos;Gyor; Zechmeister u. 1;9021;47.686103274432526; 17.630719186237123;200;H-V 0-24;Igen;(Viragpiac)
3;Nyilvanos;Gyor; Baross Gabor ut 35;9021;47.684515600409064; 17.634997736419123;200;"H-P 8-20; SZO 8-18; V 10-18";Nem;(Setaloutca Varoshaza feloli elejen)
4;Nyilvanos;Gyor; Szabadsajto u. 24;9021;47.68802787177609; 17.633553995530693;200;H-SZO 8-18;Nem;(Szechenyi ter)
5;Nyilvanos;Gyor; Dunakapu ter;9022;47.690034702340284; 17.632935933106744;200;"H-SZO 10-20; V 10-18";Igen;(Dunakapu melygarazs)
6;Nyilvanos;Gyor; Bisinger Jozsef stny. 15;9022;47.68482498434725; 17.63871039005709;200;H-V 6-22;Igen;(Bisinger setany)
7;Nyilvanos;Gyor; Eotvos park;9021;47.68141170995319; 17.630807182249413;200;H-V 6-22;Igen;(Eotvos park)
8;Nyilvanos;Gyor; Bem ter 14;9024;47.67793173067568; 17.634764865841515;200;H-V 6-22;Igen;(Bem ter)
9;Nyilvanos;Gyor; almos u. 21;9023;47.67916914475014; 17.643672612819365;200;H-V 6-22;Igen;(Malom liget)
10;Nyilvanos;Gyor; Ifjusag krt. 91;9023;47.67077154900637; 17.655615265960968;200;H-V 6-22;Igen;(Adyvarosi to mellett)
11;Magan;Gyor; Budai ut 1;9027;47.69054022611017; 17.64457185172739;50;"H-SZO 9-20; V 10-18";Nem;Foldszint, Tom Tailor es Office Shoes kozott (arkad)
12;Magan;Gyor; Budai ut 1;9027;47.69064607737905; 17.64438780310869;50;"H-SZO 9-20; V 10-18";Igen;Emelet, Purple Panda mellett (arkad)
13;Magan;Gyor; Budai ut 1;9027;47.69012811319212; 17.64430664019338;50;"H-SZO 9-20; V 10-18";Igen;Foldszint, Gas es Calzedonia kozott (arkad)
14;Magan;Gyor; Budai ut 1;9027;47.69012811319212; 17.64430664019338;50;"H-SZO 9-20; V 10-18";Igen;Emelet, Heavy Tools es Budmil Store kozott (arkad)
15;Nyilvanos;Gyor; Revai Miklos utca 4;9021;47.68217040231239; 17.634522047641568;200;H-V 5:40-20:15;Nem;Aluljaroszinten (Vasutallomas)
16;Magan;Gyor; Baross Gabor ut 23;9021;47.686084195962344; 17.63413046969159;200;"H-CS 7-23; P 7-24; SZO 0-2, 7-24; V 0-2, 8-23";Nem;Fobejarat utan jobbra (McDonald's)
17;Magan;Gyor; Vasvari Pal u. 1;9023;47.66994222099452; 17.64908002321328;0;H-V 7-23;Igen;(McDonald's)
18;Magan;Gyor; Papai ut 2856/3. Hrsz;9024;47.65676224968703; 17.634896176254674;0;H-V 7-23;Igen;(McDonald's)
19;Nyilvanos;Gyor; Vasvari Pal u. 4;9024;47.67014107813979; 17.648106110112682;200;H-V 0-24;Igen;(Dr. Pezt Lajos Parkolohaz)
20;Magan;Gyor; Vasvari Pal u. 1;9024;47.66947567752465; 17.65112281757871;0;"H-SZO 9-20; V 10-18";Igen;(Gyor Plaza)
21;Magan;Gyor; Baross Gabor ut 24;9021;47.68570589720944; 17.633939038805497;Fogyasztas elleneben;"H-CS 8-21:30; P-SZO 8-24";Nem;Kod a Blokkon (KFC Baross ut)
